18666,18668	18655,18657,18658,18662,18665,18660,18663,18667,18670,18671,18672,18673,18675,18676,18677,18678,18679,18680,18681,18682,18683,18684,18685,18688,18689,18690,18691,18692,18693,18694,18695,18696,18697,18698,18699,18701,18705,18706,18707,18708,18709,18710,18711,18712,18714,18716,18717,18719,18720,18721,18722,18723,18726,18728,18729,18730,18731,18732,18735,18736,18737,18741,18742,18743,18744,18745,18746,18747,18748,18749,18750,18751,18753,18754,18755,18756,18757,18758,18759,18760,18761,18762,18763,18764,18765,18766,18767,18768,18769,18770,18771,18772,18773,18774,18775,18776,18777,18778,18779 99
18670,18679	18655,18657,18658,18662,18665,18666,18668,18669,18673,18676,18660,18663,18667,18671,18672,18675,18677,18678,18680,18681,18682,18683,18684,18685,18688,18689,18690,18691,18692,18693,18694,18695,18696,18697,18698,18699,18701,18705,18706,18707,18708,18709,18710,18711,18712,18714,18716,18717,18719,18720,18721,18722,18723,18726,18728,18729,18730,18731,18732,18735,18736,18737,18741,18742,18743,18744,18745,18746,18747,18748,18749,18750,18751,18753,18754,18755,18756,18757,18758,18759,18760,18761,18762,18763,18764,18765,18766,18767,18768,18769,18770,18771,18772,18773,18774,18775,18776,18777,18778 99
18676,18712	18655,18657,18658,18662,18665,18666,18668,18669,18670,18673,18659,18660,18661,18663,18664,18667,18671,18672,18674,18675,18677,18678,18679,18680,18681,18682,18683,18684,18685,18686,18687,18688,18689,18690,18691,18692,18693,18694,18695,18696,18697,18698,18699,18700,18701,18702,18703,18704,18705,18706,18707,18708,18709,18710,18711,18713,18714,18715,18716,18717,18718,18719,18720,18721,18722,18723,18724,18725,18726,18727,18728,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18747,18748,18749,18750,18751,18752,18753,18754,18755,18756 99
18676,18721	18655,18657,18662,18665,18666,18668,18669,18670,18673,18679,18681,18683,18688,18689,18691,18692,18693,18695,18697,18701,18703,18706,18707,18709,18710,18711,18712,18713,18718,18719,18658,18659,18660,18661,18663,18664,18667,18671,18672,18674,18675,18677,18678,18680,18682,18684,18685,18686,18687,18690,18694,18696,18698,18699,18700,18702,18704,18705,18708,18714,18715,18716,18717,18720,18722,18723,18724,18725,18726,18727,18728,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18747,18748,18749,18750,18751,18752,18753,18754,18755,18756 99
18681,18707	18655,18657,18658,18662,18665,18666,18668,18669,18670,18673,18676,18679,18683,18684,18688,18689,18690,18691,18692,18693,18695,18697,18700,18701,18703,18706,18659,18660,18664,18667,18671,18672,18674,18675,18677,18678,18680,18682,18685,18686,18687,18694,18696,18698,18699,18702,18704,18705,18708,18709,18710,18711,18712,18713,18714,18715,18716,18717,18718,18719,18720,18721,18722,18723,18724,18725,18726,18728,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18748,18750,18751,18753,18754,18727,18747,18749,18752,18758,18760,18761,18762 99
18683,18688	18655,18657,18658,18662,18665,18666,18668,18669,18670,18673,18676,18679,18681,18659,18660,18664,18667,18671,18672,18674,18675,18677,18678,18680,18682,18684,18685,18686,18687,18689,18690,18691,18692,18693,18694,18695,18696,18697,18698,18699,18700,18701,18702,18703,18704,18705,18706,18707,18708,18709,18710,18711,18712,18713,18715,18716,18717,18718,18719,18720,18721,18722,18723,18724,18725,18726,18728,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18748,18750,18751,18753,18754,18727,18747,18749,18752,18758,18760,18761,18762,18763 99
18683,18710	18655,18657,18658,18662,18665,18666,18668,18669,18670,18673,18676,18679,18681,18684,18688,18689,18690,18691,18692,18693,18695,18697,18700,18701,18703,18706,18707,18708,18709,18659,18660,18664,18667,18671,18672,18674,18675,18677,18678,18680,18682,18685,18686,18687,18694,18696,18698,18699,18702,18704,18705,18711,18712,18713,18715,18716,18717,18718,18719,18720,18721,18722,18723,18724,18725,18726,18728,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18748,18750,18751,18753,18754,18727,18747,18749,18752,18758,18760,18761,18762,18763 99
18683,18728	18655,18657,18662,18665,18666,18668,18669,18670,18673,18676,18679,18681,18688,18689,18691,18692,18693,18695,18697,18701,18703,18706,18707,18709,18710,18711,18712,18718,18719,18721,18722,18724,18726,18727,18658,18659,18660,18664,18667,18671,18672,18674,18675,18677,18678,18680,18682,18684,18685,18686,18687,18690,18694,18696,18698,18699,18700,18702,18704,18705,18708,18713,18715,18716,18717,18720,18723,18725,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18748,18750,18751,18753,18754,18747,18749,18752,18758,18760,18761,18762,18763 99
18685,18696	18655,18657,18658,18662,18665,18666,18668,18669,18670,18671,18673,18676,18679,18681,18683,18684,18660,18690,18698,18699,18705,18714,18717,18720,18732,18741,18749,18751,18756,18757,18759,18761,18765,18774,18777,18778,18782,18789,18791,18798,18687,18688,18689,18691,18692,18693,18695,18697,18700,18701,18702,18703,18706,18707,18708,18709,18710,18711,18712,18713,18715,18718,18719,18721,18722,18723,18724,18726,18727,18728,18729,18730,18731,18734,18735,18736,18737,18738,18739,18740,18742,18743,18745,18747,18748,18752,18753,18754,18758,18760,18762,18763,18764,18766,18767,18768,18769,18770,18772 99
18688,18710	18655,18657,18658,18662,18665,18666,18668,18669,18670,18673,18676,18679,18681,18683,18684,18689,18690,18691,18692,18693,18695,18697,18700,18701,18703,18706,18707,18708,18709,18659,18660,18664,18667,18671,18672,18674,18675,18677,18678,18680,18682,18685,18686,18687,18694,18696,18698,18699,18702,18704,18705,18711,18712,18713,18715,18716,18717,18718,18719,18720,18721,18722,18723,18724,18725,18726,18728,18729,18730,18731,18732,18733,18734,18735,18736,18737,18738,18739,18740,18741,18742,18743,18744,18745,18746,18748,18750,18751,18753,18754,18727,18747,18749,18752,18758,18760,18761,18762,18763 99
